,Name,Ratings,Vote Count,Release Year,Watch Time
0,1. The Shawshank Redemption,9.3, (3.1M),1994 2h 22m, 
1,2. The Godfather,9.2, (2.1M),1972 2h 55m, 
2,3. The Dark Knight,9.0, (3M),2008 2h 32m, 
3,4. The Godfather Part II,9.0, (1.4M),1974 3h 22m, 
4,5. 12 Angry Men,9.0, (937K),1957 1h 36m, 
5,6. The Lord of the Rings: The Return of the King,9.0, (2.1M),2003 3h 21m, 
6,7. Schindler's List,9.0, (1.5M),1993 3h 15m, 
7,8. Pulp Fiction,8.8, (2.4M),1994 2h 34m, 
8,9. The Lord of the Rings: The Fellowship of the Ring,8.9, (2.1M),2001 2h 58m, 
9,"10. The Good, the Bad and the Ugly",8.8, (861K),1966 2h 58m, 
10,11. Forrest Gump,8.8, (2.4M),1994 2h 22m, 
11,12. The Lord of the Rings: The Two Towers,8.8, (1.9M),2002 2h 59m, 
12,13. Fight Club,8.8, (2.5M),1999 2h 19m, 
13,14. Inception,8.8, (2.7M),2010 2h 28m, 
14,15. Star Wars: Episode V - The Empire Strikes Back,8.7, (1.5M),1980 2h 4m, 
15,16. The Matrix,8.7, (2.2M),1999 2h 16m, 
16,17. Goodfellas,8.7, (1.3M),1990 2h 25m, 
17,18. Interstellar,8.7, (2.4M),2014 2h 49m, 
18,19. One Flew Over the Cuckoo's Nest,8.7, (1.1M),1975 2h 13m, 
19,20. Se7en,8.6, (1.9M),1995 2h 7m, 
20,21. It's a Wonderful Life,8.6, (531K),1946 2h 10m, 
21,22. The Silence of the Lambs,8.6, (1.6M),1991 1h 58m, 
22,23. Seven Samurai,8.6, (388K),1954 3h 27m, 
23,24. Saving Private Ryan,8.6, (1.6M),1998 2h 49m, 
24,25. The Green Mile,8.6, (1.5M),1999 3h 9m, 
25,26. City of God,8.6, (843K),2002 2h 10m, 
26,27. Life Is Beautiful,8.6, (784K),1997 1h 56m, 
27,28. Terminator 2: Judgment Day,8.6, (1.2M),1991 2h 17m, 
28,29. Star Wars: Episode IV - A New Hope,8.6, (1.5M),1977 2h 1m, 
29,30. Back to the Future,8.5, (1.4M),1985 1h 56m, 
30,31. Spirited Away,8.6, (920K),2001 2h 4m, 
31,32. The Pianist,8.5, (975K),2002 2h 30m, 
32,33. Gladiator,8.5, (1.8M),2000 2h 35m, 
33,34. Parasite,8.5, (1.1M),2019 2h 12m, 
34,35. Psycho,8.5, (758K),1960 1h 49m, 
35,36. The Lion King,8.5, (1.2M),1994 1h 28m, 
36,37. Grave of the Fireflies,8.5, (355K),1988 1h 28m, 
37,38. The Departed,8.5, (1.5M),2006 2h 31m, 
38,39. Whiplash,8.5, (1.1M),2014 1h 46m, 
39,40. Harakiri,8.6, (81K),1962 2h 13m, 
40,41. The Prestige,8.5, (1.5M),2006 2h 10m, 
41,42. American History X,8.5, (1.2M),1998 1h 59m, 
42,43. Léon: The Professional,8.5, (1.3M),1994 1h 50m, 
43,44. Spider-Man: Across the Spider-Verse,8.5, (467K),2023 2h 20m, 
44,45. Casablanca,8.5, (636K),1942 1h 42m, 
45,46. The Usual Suspects,8.5, (1.2M),1995 1h 46m, 
46,47. Cinema Paradiso,8.5, (304K),1988 2h 54m, 
47,48. The Intouchables,8.5, (986K),2011 1h 52m, 
48,49. Alien,8.5, (1M),1979 1h 57m, 
49,50. Modern Times,8.5, (275K),1936 1h 27m, 
50,51. Rear Window,8.5, (551K),1954 1h 52m, 
51,52. Once Upon a Time in the West,8.5, (371K),1968 2h 46m, 
52,53. Django Unchained,8.5, (1.8M),2012 2h 45m, 
53,54. City Lights,8.5, (208K),1931 1h 27m, 
54,55. Apocalypse Now,8.4, (747K),1979 2h 27m, 
55,56. WALL·E,8.4, (1.3M),2008 1h 38m, 
56,57. Memento,8.4, (1.4M),2000 1h 53m, 
57,58. Dune: Part Two,8.5, (649K),2024 2h 46m, 
58,59. Raiders of the Lost Ark,8.4, (1.1M),1981 1h 55m, 
59,60. Avengers: Infinity War,8.4, (1.3M),2018 2h 29m, 
60,61. The Lives of Others,8.4, (430K),2006 2h 17m, 
61,62. Sunset Boulevard,8.4, (251K),1950 1h 50m, 
62,63. Spider-Man: Into the Spider-Verse,8.4, (740K),2018 1h 57m, 
63,64. Witness for the Prosecution,8.4, (152K),1957 1h 56m, 
64,65. Paths of Glory,8.4, (228K),1957 1h 28m, 
65,66. The Shining,8.4, (1.2M),1980 2h 26m, 
66,67. The Great Dictator,8.4, (250K),1940 2h 5m, 
67,68. 12th Fail,8.7, (152K),2023 2h 27m, 
68,69. Inglourious Basterds,8.4, (1.7M),2009 2h 33m, 
69,70. Aliens,8.4, (814K),1986 2h 17m, 
70,71. The Dark Knight Rises,8.4, (1.9M),2012 2h 44m, 
71,72. Coco,8.4, (659K),2017 1h 45m, 
72,73. Amadeus,8.4, (452K),1984 2h 40m, 
73,74. Avengers: Endgame,8.4, (1.4M),2019 3h 1m, 
74,75. Toy Story,8.3, (1.1M),1995 1h 21m, 
75,76. Good Will Hunting,8.3, (1.1M),1997 2h 6m, 
76,77. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3, (541K),1964 1h 35m, 
77,78. Oldboy,8.3, (686K),2003 2h, 
78,79. Das Boot,8.4, (281K),1981 2h 29m, 
79,80. Braveheart,8.3, (1.1M),1995 2h 58m, 
80,81. High and Low,8.4, (62K),1963 2h 23m, 
81,82. American Beauty,8.3, (1.3M),1999 2h 2m, 
82,83. Princess Mononoke,8.3, (464K),1997 2h 13m, 
83,84. Your Name.,8.4, (363K),2016 1h 46m, 
84,85. 3 Idiots,8.4, (463K),2009 2h 50m, 
85,86. Joker,8.3, (1.6M),2019 2h 2m, 
86,87. Capernaum,8.4, (118K),2018 2h 6m, 
87,88. Once Upon a Time in America,8.3, (398K),1984 3h 49m, 
88,89. Singin' in the Rain,8.3, (274K),1952 1h 43m, 
89,90. Come and See,8.3, (114K),1985 2h 22m, 
90,91. Requiem for a Dream,8.3, (945K),2000 1h 42m, 
91,92. Star Wars: Episode VI - Return of the Jedi,8.3, (1.2M),1983 2h 11m, 
92,93. Toy Story 3,8.3, (938K),2010 1h 43m, 
93,94. The Hunt,8.3, (392K),2012 1h 55m, 
94,95. Ikiru,8.3, (98K),1952 2h 23m, 
95,96. Eternal Sunshine of the Spotless Mind,8.3, (1.1M),2004 1h 48m, 
96,97. Incendies,8.3, (232K),2010 2h 11m, 
97,98. 2001: A Space Odyssey,8.3, (758K),1968 2h 29m, 
98,99. The Apartment,8.3, (210K),1960 2h 5m, 
99,100. Lawrence of Arabia,8.3, (331K),1962 3h 47m, 
100,101. Reservoir Dogs,8.3, (1.1M),1992 1h 39m, 
101,102. Scarface,8.3, (975K),1983 2h 50m, 
102,103. Heat,8.3, (766K),1995 2h 50m, 
103,104. Double Indemnity,8.3, (176K),1944 1h 47m, 
104,105. North by Northwest,8.3, (362K),1959 2h 16m, 
105,106. Up,8.3, (1.2M),2009 1h 36m, 
106,107. Citizen Kane,8.3, (484K),1941 1h 59m, 
107,108. M,8.3, (178K),1931 1h 39m, 
108,109. Full Metal Jacket,8.2, (827K),1987 1h 56m, 
109,110. Vertigo,8.2, (448K),1958 2h 8m, 
110,111. Amélie,8.3, (822K),2001 2h 2m, 
111,112. Taare Zameen Par,8.3, (221K),2007 2h 42m, 
112,113. The Chaos Class Failed the Class,8.7, (27K),1975 1h 35m, 
113,114. A Separation,8.3, (271K),2011 2h 3m, 
114,115. To Kill a Mockingbird,8.3, (345K),1962 2h 9m, 
115,116. Die Hard,8.2, (995K),1988 2h 12m, 
116,117. Indiana Jones and the Last Crusade,8.2, (843K),1989 2h 7m, 
117,118. A Clockwork Orange,8.2, (916K),1971 2h 16m, 
118,119. The Sting,8.2, (292K),1973 2h 9m, 
119,120. Metropolis,8.3, (196K),1927 2h 33m, 
120,121. Oppenheimer,8.3, (911K),2023 3h, 
121,122. Snatch,8.2, (951K),2000 1h 42m, 
122,123. 1917,8.2, (735K),2019 1h 59m, 
123,124. L.A. Confidential,8.2, (645K),1997 2h 18m, 
124,125. Bicycle Thieves,8.2, (187K),1948 1h 29m, 
125,126. Downfall,8.2, (391K),2004 2h 36m, 
126,127. Dangal,8.3, (229K),2016 2h 41m, 
127,128. The Wolf of Wall Street,8.2, (1.7M),2013 3h, 
128,129. Hamilton,8.3, (130K),2020 2h 40m, 
129,130. Green Book,8.2, (644K),2018 2h 10m, 
130,131. Taxi Driver,8.2, (987K),1976 1h 54m, 
131,132. Batman Begins,8.2, (1.7M),2005 2h 20m, 
132,133. The Truman Show,8.2, (1.3M),1998 1h 43m, 
133,134. For a Few Dollars More,8.2, (291K),1965 2h 12m, 
134,135. Judgment at Nuremberg,8.3, (93K),1961 2h 59m, 
135,136. Some Like It Hot,8.2, (297K),1959 2h 1m, 
136,137. Shutter Island,8.2, (1.6M),2010 2h 18m, 
137,138. The Kid,8.2, (142K),1921 1h 8m, 
138,139. The Father,8.2, (216K),2020 1h 37m, 
139,140. Jurassic Park,8.2, (1.1M),1993 2h 7m, 
140,141. All About Eve,8.2, (146K),1950 2h 18m, 
141,142. There Will Be Blood,8.2, (676K),2007 2h 38m, 
142,143. The Sixth Sense,8.2, (1.1M),1999 1h 47m, 
143,144. Ran,8.2, (145K),1985 2h 40m, 
144,145. Casino,8.2, (597K),1995 2h 58m, 
145,146. Top Gun: Maverick,8.2, (790K),2022 2h 10m, 
146,147. No Country for Old Men,8.2, (1.1M),2007 2h 2m, 
147,148. The Thing,8.2, (503K),1982 1h 49m, 
148,149. Unforgiven,8.2, (457K),1992 2h 10m, 
149,150. Pan's Labyrinth,8.2, (728K),2006 1h 58m, 
150,151. Kill Bill: Vol. 1,8.2, (1.3M),2003 1h 51m, 
151,152. A Beautiful Mind,8.2, (1M),2001 2h 15m, 
152,153. Prisoners,8.2, (882K),2013 2h 33m, 
153,154. The Treasure of the Sierra Madre,8.2, (138K),1948 2h 6m, 
154,155. Yojimbo,8.2, (139K),1961 1h 50m, 
155,156. Finding Nemo,8.2, (1.2M),2003 1h 40m, 
156,157. Howl's Moving Castle,8.2, (488K),2004 1h 59m, 
157,158. The Great Escape,8.2, (271K),1963 2h 52m, 
158,159. Monty Python and the Holy Grail,8.2, (591K),1975 1h 31m, 
159,160. The Elephant Man,8.2, (275K),1980 2h 4m, 
160,161. Dial M for Murder,8.2, (199K),1954 1h 45m, 
161,162. Klaus,8.2, (217K),2019 1h 36m, 
162,163. Gone with the Wind,8.2, (348K),1939 3h 58m, 
163,164. Chinatown,8.1, (367K),1974 2h 10m, 
164,165. The Secret in Their Eyes,8.2, (235K),2009 2h 9m, 
165,"166. Lock, Stock and Two Smoking Barrels",8.1, (638K),1998 1h 47m, 
166,167. Rashomon,8.2, (191K),1950 1h 28m, 
167,168. V for Vendetta,8.1, (1.2M),2005 2h 12m, 
168,169. Inside Out,8.1, (876K),2015 1h 35m, 
169,"170. Three Billboards Outside Ebbing, Missouri",8.1, (587K),2017 1h 55m, 
170,171. Catch Me If You Can,8.1, (1.2M),2002 2h 21m, 
171,172. Trainspotting,8.1, (753K),1996 1h 33m, 
172,173. The Bridge on the River Kwai,8.1, (244K),1957 2h 41m, 
173,174. Raging Bull,8.1, (398K),1980 2h 9m, 
174,175. The Wild Robot,8.2, (187K),2024 1h 42m, 
175,176. Fargo,8.1, (761K),1996 1h 38m, 
176,177. Harry Potter and the Deathly Hallows: Part 2,8.1, (1M),2011 2h 10m, 
177,178. Warrior,8.1, (517K),2011 2h 20m, 
178,179. Gran Torino,8.1, (843K),2008 1h 56m, 
179,180. Million Dollar Baby,8.1, (750K),2004 2h 12m, 
180,181. Ben-Hur,8.1, (265K),1959 3h 32m, 
181,182. Mad Max: Fury Road,8.1, (1.2M),2015 2h, 
182,183. My Neighbor Totoro,8.1, (412K),1988 1h 26m, 
183,184. Barry Lyndon,8.1, (195K),1975 3h 5m, 
184,185. Dead Poets Society,8.1, (598K),1989 2h 8m, 
185,186. Children of Heaven,8.2, (87K),1997 1h 29m, 
186,187. Hacksaw Ridge,8.1, (644K),2016 2h 19m, 
187,188. Spider-Man: No Way Home,8.2, (963K),2021 2h 28m, 
188,189. The Grand Budapest Hotel,8.1, (934K),2014 1h 39m, 
189,190. 12 Years a Slave,8.1, (768K),2013 2h 14m, 
190,191. Before Sunrise,8.1, (362K),1995 1h 41m, 
191,192. Blade Runner,8.1, (858K),1982 1h 57m, 
192,193. Memories of Murder,8.1, (246K),2003 2h 12m, 
193,194. Gone Girl,8.1, (1.1M),2014 2h 29m, 
194,195. Ratatouille,8.1, (895K),2007 1h 51m, 
195,196. How to Train Your Dragon,8.1, (857K),2010 1h 38m, 
196,"197. Monsters, Inc.",8.1, (1M),2001 1h 32m, 
197,198. In the Name of the Father,8.1, (197K),1993 2h 13m, 
198,199. Jaws,8.1, (705K),1975 2h 4m, 
199,200. Wild Tales,8.1, (231K),2014 2h 2m, 
200,201. The Gold Rush,8.1, (125K),1925 1h 35m, 
201,202. Sherlock Jr.,8.2, (63K),1924 45m, 
202,203. Ford v Ferrari,8.1, (533K),2019 2h 32m, 
203,204. Mary and Max,8.1, (197K),2009 1h 32m, 
204,205. The Deer Hunter,8.1, (378K),1978 3h 3m, 
205,206. The Wages of Fear,8.1, (71K),1953 2h 36m, 
206,207. The General,8.1, (104K),1926 1h 18m, 
207,208. Mr. Smith Goes to Washington,8.1, (127K),1939 2h 9m, 
208,209. On the Waterfront,8.1, (174K),1954 1h 48m, 
209,210. Logan,8.1, (897K),2017 2h 17m, 
210,211. Wild Strawberries,8.1, (121K),1957 1h 32m, 
211,212. Rocky,8.1, (665K),1976 2h, 
212,213. The Third Man,8.1, (191K),1949 1h 44m, 
213,214. Tokyo Story,8.1, (75K),1953 2h 17m, 
214,215. Spotlight,8.1, (522K),2015 2h 9m, 
215,216. The Terminator,8.1, (971K),1984 1h 47m, 
216,217. Pirates of the Caribbean: The Curse of the Black Pearl,8.1, (1.3M),2003 2h 23m, 
217,218. The Big Lebowski,8.1, (895K),1998 1h 57m, 
218,219. Maharaja,8.4, (72K),2024 2h 21m, 
219,220. The Seventh Seal,8.1, (210K),1957 1h 36m, 
220,221. La haine,8.1, (214K),1995 1h 38m, 
221,222. Room,8.1, (470K),2015 1h 58m, 
222,223. Jai Bhim,8.6, (228K),2021 2h 44m, 
223,224. Hotel Rwanda,8.1, (385K),2004 2h 1m, 
224,225. Platoon,8.1, (459K),1986 2h, 
225,226. The Best Years of Our Lives,8.1, (75K),1946 2h 50m, 
226,227. Before Sunset,8.1, (305K),2004 1h 20m, 
227,228. The Sound of Music,8.1, (279K),1965 2h 52m, 
228,229. The Exorcist,8.1, (481K),1973 2h 2m, 
229,230. The Incredibles,8.0, (862K),2004 1h 55m, 
230,231. The Wizard of Oz,8.1, (453K),1939 1h 42m, 
231,232. Hachi: A Dog's Tale,8.1, (331K),2009 1h 33m, 
232,233. Rush,8.1, (540K),2013 2h 3m, 
233,234. The Passion of Joan of Arc,8.1, (66K),1928 1h 54m, 
234,235. Stand by Me,8.1, (468K),1986 1h 29m, 
235,236. My Father and My Son,8.2, (98K),2005 1h 52m, 
236,237. A Silent Voice: The Movie,8.1, (124K),2016 2h 10m, 
237,238. The Iron Giant,8.1, (248K),1999 1h 26m, 
238,239. Network,8.1, (181K),1976 2h 1m, 
239,240. The Handmaiden,8.1, (191K),2016 2h 25m, 
240,241. The Battle of Algiers,8.1, (72K),1966 2h 1m, 
241,242. The Grapes of Wrath,8.1, (106K),1940 2h 9m, 
242,243. To Be or Not to Be,8.1, (48K),1942 1h 39m, 
243,244. Into the Wild,8.0, (682K),2007 2h 28m, 
244,245. Groundhog Day,8.0, (721K),1993 1h 41m, 
245,246. The Help,8.1, (516K),2011 2h 26m, 
246,247. Gangs of Wasseypur,8.2, (109K),2012 5h 21m, 
247,248. Drishyam,8.2, (102K),2015 2h 43m, 
248,249. Andhadhun,8.2, (110K),2018 2h 19m, 
249,250. Amores Perros,8.0, (269K),2000 2h 34m, 
